uid rid mid hand crux k1 k2 k3 k4 hold.goodness cross big.move match
0 5 10 left false 11 15 13 16 0 false false false
0 5 11 left false 18 24 20 25 -1 false false false
0 5 12 right false 1 1 1 1 0 false false false
0 5 13 left false 1 29 7 32 1 false false false
0 5 14 right false 2 2 3 3 0 false false true
0 5 15 right false 19 26 23 28 0 false false false
0 5 16 left false 1 29 7 32 1 false false false
0 5 17 right false 2 2 3 3 0 false false true
0 5 18 right false 19 26 23 28 0 false false false
0 5 19 left false 12 18 14 19 0 false false false
0 5 20 right false 18 24 24 29 -1 true false false
0 5 21 left false 18 27 20 30 0 false false false
0 5 22 right false 11 30 13 33 -1 false false false
0 5 23 left false 17 23 19 24 0 false false false
0 6 1 right false 20 28 25 31 1 false false false
0 6 2 left false 2 2 3 3 0 false false true
0 6 3 left false 20 28 25 31 1 false false false
0 6 4 right false 4 31 26 34 1 false false false
0 6 5 left false 4 5 5 6 0 false false false
0 6 6 right false 3 32 4 35 1 false false false
0 6 7 left false 3 25 22 27 0 false false true
0 6 8 left false 11 15 13 16 0 false false false
0 6 9 right false 21 33 27 36 0 false false false
0 6 10 left false 21 33 27 36 0 false false false
0 6 11 right false 22 34 28 37 0 false false false
0 6 12 left false 12 18 14 19 0 false false false
0 6 13 right false 4 5 29 38 0 true false false
0 6 14 left false 2 2 3 3 0 false false true
0 6 15 right false 21 33 27 36 0 false false false
0 6 16 left false 4 35 5 39 -1 false false false
0 6 17 right false 23 36 30 40 1 false false false
0 6 18 left false 2 2 3 3 0 false false true
0 6 19 left false 4 5 5 6 0 false false false
0 6 20 right false 3 25 22 27 0 false false false
0 6 21 left false 11 15 13 16 0 false false false
0 6 22 right false 4 5 5 6 0 false false false
0 6 23 left false 1 1 1 1 0 false false false
0 11 43 left false 20 28 25 31 1 false false false
0 11 44 right false 4 31 26 34 1 false false false
0 11 45 left false 4 5 5 6 0 false false false
0 11 46 right false 3 32 4 35 1 false false false
0 11 47 right false 5 6 6 7 0 false false false
0 11 48 left false 8 11 10 12 0 false false false
0 11 49 right false 15 21 17 22 -1 false false false
0 11 50 left false 12 18 14 19 0 false false false
0 11 51 right false 22 34 28 37 0 false false false
0 11 52 left false 12 18 14 19 0 false false false
0 11 53 right false 4 5 29 38 0 true false false
0 11 54 left false 4 5 29 38 0 true false true
0 11 55 right false 21 33 27 36 0 false false false
0 11 56 right false 1 1 1 1 0 false false false
0 11 57 left false 1 1 2 2 0 false true false
0 11 58 left false 1 29 7 32 1 false false false
0 11 59 right false 1 29 7 32 1 false false true
0 11 60 right false 19 26 23 28 0 false false false
0 11 61 left false 11 15 13 16 0 false false false
0 11 62 right false 4 5 5 6 0 false false false
0 11 63 left false 1 1 1 1 0 false false false
0 11 64 left false 1 1 1 1 0 false false false
0 11 65 left false 18 27 20 30 0 false false false
0 11 66 right false 11 30 13 33 -1 false false false
0 11 67 right false 11 30 13 33 -1 false false false
0 11 68 left false 17 23 19 24 0 false false false
0 11 69 left false 17 23 19 24 0 false false false
0 11 70 right false 20 28 25 31 1 false false false
0 11 71 right false 20 28 25 31 1 false false false
0 11 72 left false 20 28 25 31 1 false false true
0 11 73 left false 20 28 25 31 1 false false false
0 11 74 left false 4 5 5 6 0 false false false
0 11 75 right false 3 32 4 35 1 false false false
0 11 76 left false 3 25 22 27 0 false false true
0 11 77 left false 11 15 13 16 0 false false false
0 11 78 right false 21 33 27 36 0 false false false
0 11 79 right false 22 34 28 37 0 false false false
0 11 80 left false 12 18 14 19 0 false false false
0 11 81 left false 12 18 14 19 0 false false false
0 11 82 right false 4 5 29 38 0 true false false
0 11 83 left false 4 5 29 38 0 true false true
0 11 84 right false 21 33 27 36 0 false false false
0 11 85 left false 4 35 5 39 -1 false false false
0 11 86 right false 23 36 30 40 1 false false false
0 12 62 right false 3 25 22 27 0 false false false
0 11 87 left false 23 36 30 40 1 false false true
0 11 88 left false 4 5 5 6 0 false false false
0 11 89 left false 11 15 13 16 0 false false false
0 11 90 right false 4 5 5 6 0 false false false
0 12 63 right false 3 25 22 27 0 false false false
0 12 64 left false 4 5 5 6 0 false false false
0 12 65 left false 4 5 5 6 0 false false false
0 12 66 left false 4 5 5 6 0 false false false
0 12 67 right false 3 32 4 35 1 false false false
0 12 68 right false 3 32 4 35 1 false false false
0 12 69 left false 3 25 22 27 0 false false true
0 12 70 left false 3 25 22 27 0 false false true
0 12 71 left false 11 15 13 16 0 false false false
0 12 72 left false 11 15 13 16 0 false false false
0 12 73 left false 11 15 13 16 0 false false false
0 12 74 right false 4 5 29 38 0 true false false
0 12 75 right false 4 5 29 38 0 true false false
0 12 76 left false 4 5 29 38 0 true false true
0 12 77 left false 4 5 29 38 0 true false true
0 12 78 right false 21 33 27 36 0 false false false
0 12 79 right false 21 33 27 36 0 false false false
0 12 80 left false 4 35 5 39 -1 false false false
0 12 81 right false 23 36 30 40 1 false false false
0 12 82 left false 23 36 30 40 1 false false true
0 12 83 right false 15 21 17 22 -1 false false false
0 12 84 left false 12 18 14 19 0 false false false
0 12 85 left false 12 18 14 19 0 false false false
0 12 86 right false 1 1 21 26 0 true false false
0 12 87 left false 1 1 21 26 0 true false true
0 12 88 left false 8 11 10 12 0 false false false
0 12 89 right false 3 25 22 27 0 false false false
0 12 90 left false 11 15 13 16 0 false false false
0 13 1 right false 11 15 13 16 0 false false false
0 13 2 left false 18 37 20 41 0 false false false
0 13 3 right false 24 38 31 42 0 false false false
0 13 4 left true 11 15 13 16 0 false false true
0 13 5 right false 24 38 31 42 0 false false false
0 13 6 left true 1 1 1 1 0 false false false
0 14 0 right false 11 15 13 16 0 false false false
0 14 1 right false 11 15 13 16 0 false false false
0 14 2 left false 18 37 20 41 0 false false false
0 14 3 left false 11 15 13 16 0 false false true
0 14 4 right false 24 38 31 42 0 false false false
0 14 5 left false 1 1 1 1 0 false false false
0 15 0 left false 1 1 1 1 0 false false false
0 15 1 left false 1 1 1 1 0 false false false
0 15 2 left false 1 1 1 1 0 false false false
0 15 3 left false 1 1 1 1 0 false false false
0 15 4 left false 1 1 1 1 0 false false false
0 15 5 left false 1 1 1 1 0 false false false
0 32 1 left false 25 39 32 43 0 false false false
0 32 2 right false 17 23 19 24 0 false false false
0 32 3 left false 4 5 5 6 0 false false false
0 32 4 right false 4 5 5 6 0 false false false
0 32 5 left false 24 38 31 42 0 false false false
0 32 6 right false 1 1 1 1 0 false false false
0 32 7 left false 1 1 1 1 0 false false false
0 32 8 right true 26 40 33 44 0 false false false
0 32 9 left false 1 1 1 1 0 false false false
0 32 10 right false 25 39 32 43 0 false false false
0 32 11 left false 25 39 32 43 0 false false false
0 33 0 left false 25 39 32 43 0 false false false
0 33 1 left false 25 39 32 43 0 false false false
0 33 2 right false 17 23 19 24 0 false false false
0 33 3 right false 4 5 5 6 0 false false false
0 33 4 left false 24 38 31 42 0 false false false
0 33 5 right false 1 1 1 1 0 false false false
0 33 6 left false 1 1 1 1 0 false false false
0 33 7 right false 26 40 33 44 0 false false false
0 33 8 left false 1 1 1 1 0 false false false
0 33 9 right false 25 39 32 43 0 false false false
0 33 10 left false 25 39 32 43 0 false false false
0 34 1 left false 4 41 5 45 -1 false false false
0 34 2 right false 3 25 22 27 0 false false false
0 34 3 left false 24 38 31 42 0 false false false
0 34 4 right false 4 41 5 45 -1 false false false
0 34 5 left false 27 42 34 46 0 false false false
0 34 6 right false 1 1 2 2 0 false true false
0 35 0 left false 4 41 5 45 -1 false false false
0 35 1 left false 4 41 5 45 -1 false false false
0 35 2 right false 3 25 22 27 0 false false false
0 35 3 right false 4 41 5 45 -1 false false false
0 35 4 left false 27 42 34 46 0 false false false
0 35 5 right false 1 1 2 2 0 false true false
0 36 0 left false 4 41 5 45 -1 false false false
0 36 1 left false 4 41 5 45 -1 false false false
0 36 2 right false 3 25 22 27 0 false false false
0 36 3 right false 4 41 5 45 -1 false false false
0 36 4 left false 27 42 34 46 0 false false false
0 36 5 right false 1 1 2 2 0 false true false
0 37 0 left false 4 41 5 45 -1 false false false
0 37 1 left false 4 41 5 45 -1 false false false
0 37 2 right false 3 25 22 27 0 false false false
0 37 3 right false 4 41 5 45 -1 false false false
0 37 4 left false 27 42 34 46 0 false false false
0 37 5 right false 1 1 2 2 0 false true false
0 38 0 left false 4 41 5 45 -1 false false false
0 38 1 left false 4 41 5 45 -1 false false false
0 38 2 right false 3 25 22 27 0 false false false
0 38 3 right false 4 41 5 45 -1 false false false
0 38 4 left false 27 42 34 46 0 false false false
0 38 5 right false 1 1 2 2 0 false true false
0 43 1 right false 3 25 22 27 0 false false false
0 43 2 left false 4 5 5 6 0 false false false
0 43 3 right false 4 5 5 6 0 false false false
0 43 4 right true 24 38 31 42 0 false false false
0 43 5 left false 26 40 33 44 0 false false false
0 44 0 right false 3 25 22 27 0 false false false
0 44 1 right false 3 25 22 27 0 false false false
0 44 2 left false 4 5 5 6 0 false false false
0 44 3 right false 24 38 31 42 0 false false false
0 44 4 left false 26 40 33 44 0 false false false
0 45 1 left false 1 1 1 1 0 false false false
0 45 2 right false 4 43 26 47 1 false false false
0 45 3 left false 11 44 35 48 1 false false false
0 45 4 right false 21 33 27 36 0 false false false
0 45 5 left false 28 45 36 49 -1 false false false
0 45 6 left true 29 46 37 50 -1 false true false
0 45 7 right false 2 2 3 3 0 false false true
0 45 8 right false 1 47 1 51 -1 false false false
0 45 9 left false 1 1 1 1 0 false false false
0 45 10 right false 1 1 1 1 0 false false false
0 45 11 left false 17 23 19 24 0 false false false
0 46 1 left false 4 48 5 52 -2 false false false
0 46 2 right false 23 49 38 53 0 false false false
0 46 3 right false 30 50 39 54 0 false false false
0 46 4 left false 4 41 5 45 -1 false false false
0 12 0 left false 1 16 7 17 1 false false false
0 12 1 right false 1 17 7 18 1 false false false
0 12 2 left false 12 18 14 19 0 false false false
0 12 3 right false 13 19 15 20 -1 false false false
0 12 4 right false 1 1 1 1 0 false false false
0 12 5 left false 1 1 2 2 0 false true false
0 12 6 right false 3 3 4 4 1 false false false
0 12 7 left false 3 3 4 4 1 false false false
0 12 8 right false 1 4 1 5 -1 false false false
0 12 9 right false 14 20 16 21 1 false false false
0 12 10 left false 10 13 12 14 0 false false false
0 12 11 right false 1 1 1 1 0 false false false
0 12 12 left false 15 21 17 22 -1 false false false
0 12 13 right false 5 6 6 7 0 false false false
0 12 14 right false 1 8 7 9 1 false false false
0 12 15 left false 1 8 7 9 1 false false true
0 12 16 right false 4 5 5 6 0 false false false
0 12 17 left false 1 8 7 9 1 false false false
0 12 18 right false 1 1 1 1 0 false false false
0 12 19 right false 3 25 22 27 0 false false false
0 12 20 left false 8 11 10 12 0 false false false
0 12 21 right false 15 21 17 22 -1 false false false
0 12 22 left false 12 18 14 19 0 false false false
0 12 23 right false 1 1 21 26 0 true false false
0 12 24 left false 1 1 21 26 0 true false true
0 12 25 left false 8 11 10 12 0 false false false
0 12 26 right false 3 25 22 27 0 false false false
0 12 27 left false 11 15 13 16 0 false false false
0 12 28 left false 18 24 20 25 -1 false false false
0 12 29 right false 1 1 1 1 0 false false false
0 12 30 left false 1 29 7 32 1 false false false
0 12 31 left false 1 29 7 32 1 false false false
0 12 32 right false 1 29 7 32 1 false false true
0 12 33 right false 1 29 7 32 1 false false true
0 12 34 right false 19 26 23 28 0 false false false
0 12 35 left false 11 15 13 16 0 false false false
0 12 36 left false 11 15 13 16 0 false false false
0 12 37 left false 1 16 7 17 1 false false false
0 12 38 right false 1 17 7 18 1 false false false
0 12 39 left false 12 18 14 19 0 false false false
0 12 40 right false 1 1 1 1 0 false false false
0 12 41 left false 8 11 10 12 0 false false false
0 12 42 right false 1 16 7 17 1 false false false
0 12 43 right false 14 20 16 21 1 false false false
0 12 44 left false 10 13 12 14 0 false false false
0 12 45 right false 10 13 12 14 0 false false true
0 12 46 right false 10 13 12 14 0 false false true
0 12 47 right false 1 1 1 1 0 false false false
0 12 48 left false 15 21 17 22 -1 false false false
0 12 49 right false 15 21 17 22 -1 false false false
0 12 50 right false 16 22 18 23 -1 false false false
0 12 51 left false 17 23 19 24 0 false false false
0 12 52 left false 23 36 30 40 1 false false true
0 12 53 left false 23 36 30 40 1 false false true
0 12 54 left false 8 11 10 12 0 false false false
0 12 55 right false 15 21 17 22 -1 false false false
0 12 56 left false 12 18 14 19 0 false false false
0 12 57 left false 12 18 14 19 0 false false false
0 12 58 right false 1 1 21 26 0 true false false
0 12 59 left false 1 1 21 26 0 true false true
0 12 60 left false 8 11 10 12 0 false false false
0 12 61 left false 8 11 10 12 0 false false false
0 46 5 right true 4 51 5 55 0 false false false
0 46 6 left false 4 52 5 56 0 false false false
0 46 7 right false 4 52 29 57 0 true false false
0 46 8 left false 4 43 26 47 1 false false false
0 46 9 left false 23 53 38 58 -1 false false false
0 46 10 right false 2 2 3 3 0 false false true
0 46 11 right false 1 1 1 1 0 false false false
